IPM_Provinsi,PAGU_prov,Jml_Klg,Klg_Desil1,Jml_Indiv,Indiv_Desil1,IPM_2024
 DKI JAKARTA,595517683638000.00,734913.00,115642.00,2491291.00,972368.00,83.08
 JAWA BARAT,49253092636000.00,4913057.00,1144985.00,18114686.00,1120453.00,74.43
 JAWA TENGAH,42947609010000.00,4574912.00,1204406.00,16176249.00,507546.00,73.88
 DI YOGYAKARTA,15298086619000.00,528232.00,145328.00,1679054.00,541423.00,81.55
 JAWA TIMUR,48827863666000.00,5681087.00,1344340.00,18466847.00,417308.00,74.09
 ACEH,17061594834000.00,610108.00,160315.00,2469049.00,734913.00,74.03
 SUMATERA UTARA,23611881238000.00,1613857.00,301238.00,6655732.00,4913057.00,74.02
 SUMATERA BARAT,11774574435000.00,574108.00,93873.00,2306208.00,4574912.00,74.49
 RIAU,8647786432000.00,593935.00,121899.00,2470419.00,528232.00,74.79
 JAMBI,8916006739000.00,403447.00,83873.00,1531791.00,5681087.00,73.43
 SUMATERA SELATAN,19583050439000.00,972368.00,251779.00,3810911.00,610108.00,72.30
 LAMPUNG,9319083565000.00,1120453.00,245252.00,4156676.00,574108.00,71.81
 KALIMANTAN BARAT,10383029273000.00,507546.00,98243.00,2030568.00,265189.00,70.13
 KALIMANTAN TENGAH,6086593268000.00,248470.00,42826.00,934689.00,172712.00,72.73
 KALIMANTAN SELATAN,8686886703000.00,417308.00,54350.00,1487745.00,374126.00,73.03
 KALIMANTAN TIMUR,44810314436000.00,295927.00,57247.00,1215631.00,698084.00,78.83
 SULAWESI UTARA,9371850843000.00,248964.00,56022.00,935362.00,60775.00,75.03
 SULAWESI TENGAH,8100584775000.00,364391.00,85718.00,1435504.00,267759.00,71.56
 SULAWESI SELATAN,23142623777000.00,800852.00,215939.00,3337105.00,101575.00,74.05
 SULAWESI TENGGARA,7309461722000.00,265189.00,73118.00,1155407.00,1104778.00,73.48
 MALUKU,9336514728000.00,172712.00,51803.00,784705.00,176498.00,71.57
 BALI,11995075818000.00,374126.00,65350.00,1401252.00,248964.00,77.76
 NUSA TENGGARA BARAT,8309147811000.00,698084.00,203208.00,2484760.00,364391.00,70.93
 NUSA TENGGARA TIMUR,13001969870000.00,571289.00,183024.00,2724003.00,800852.00,67.39
 PAPUA,11845889804000.00,60775.00,17855.00,280297.00,146504.00,73.00
 BENGKULU,5218128795000.00,267759.00,67779.00,980633.00,1613857.00,73.39
 MALUKU UTARA,5357483852000.00,101575.00,22528.00,445182.00,27340.00,71.03
 BANTEN,11050026322000.00,1104778.00,225380.00,4389907.00,295927.00,74.48
 KEPULAUAN BANGKA BELITUNG,3246331095000.00,169432.00,19872.00,612574.00,593935.00,73.33
 GORONTALO,6298082881000.00,128779.00,38859.00,512019.00,169432.00,71.23
 KEPULAUAN RIAU,9082999348000.00,176498.00,34112.00,732259.00,403447.00,77.97
 PAPUA BARAT,7957713109000.00,27340.00,8741.00,123584.00,52547.00,67.02
 SULAWESI BARAT,4787658975000.00,146504.00,38175.00,647181.00,128779.00,68.20
 KALIMANTAN UTARA,3784987670000.00,52547.00,10685.00,229356.00,571289.00,73.02
 PAPUA SELATAN,893577783000.00,39872.00,11707.00,177161.00,39872.00,67.90
 PAPUA TENGAH,1355786330000.00,80256.00,29585.00,290703.00,80256.00,59.75
 PAPUA PEGUNUNGAN,1357504595000.00,98603.00,42020.00,289007.00,98603.00,53.42
 PAPUA BARAT DAYA,854711656000.00,39013.00,14058.00,182382.00,39013.00,68.63
